121,229,5010
6495,9659,9662,9900
7378,9383,9386,9569
6895,9476,9515,9830
6197,9801,9802,9916
6755,9635,9654,9672
2999,6186,6558,9986,9987
3612,7863,7882,7896,8463
3921,4896,8539,8843,9517
4671,5270,6676,9538,9561
1030,7387,8231,9241,9827
2210,7105,7488,9322,9591
3561,4717,9027,9043,9368
1690,6783,7839,9648,9756
2109,6135,7790,9838,9844
862,910,7752,8575,8628,8989
413,2573,8058,8070,8087,8515
1479,3248,4813,8046,9046,9084
3701,3850,5156,7522,7573,7914
669,2400,6405,8729,8732,8781
1283,5711,6250,7090,7093,8289
2705,3113,4668,7217,8344,9669
1857,1929,5177,8438,8957,9358
50,4008,5635,7844,9086,9093
3073,3277,4854,6127,9192,9193
1903,2967,4501,7507,9373,9465
831,1119,4870,5545,6683,7337,9331
1161,2406,3969,5040,6539,7689,8912
1470,1613,2544,5070,7108,8159,9752
1485,1938,5461,5805,6222,6972,7833
1999,2085,2426,4993,4999,9604,9610
420,2522,2600,5211,8214,8230,8519
2832,2843,2861,5374,5786,7543,8477
1986,2581,3305,4935,6450,7140,9319
236,1061,3778,6873,7247,8182,8339
1503,1902,3838,5624,5845,7739,9265
117,3783,3883,6697,6699,6707,7830
1595,2806,3738,4032,5438,8131,9976
556,4036,5704,5727,6162,6449,7082
1480,1722,3446,4511,6435,8149,9973
1223,2274,3820,4675,7327,7763,8634
863,1292,4072,4801,6141,9176,9371
1341,2793,4885,5640,6157,6297,8603
2330,2650,4156,5039,5372,7708,8461
120,2245,2795,5376,8160,8161,8859
436,3084,4386,5836,6573,7684,7717
3121,3194,4765,4784,5500,6093,8259
3085,3154,3252,6353,6360,6400,7112
1361,1674,2717,6372,7028,8015,8549
1093,1605,2480,6154,6549,8310,9525
1243,3886,4543,5408,6581,6661,7394
2005,3080,3260,4207,6768,7526,8870
1103,2651,5174,5363,6982,7133,7310
1974,2157,2568,6024,7343,7348,8302
845,2415,4233,5349,7473,7489,7912
1057,2231,4783,5559,6510,7765,7811
1962,2022,3010,4135,8088,8175,8324
75,3037,3576,4453,7937,8312,8326
930,1363,4331,5365,5619,8329,9779
1,2279,3097,3966,8774,8799,8800
922,1493,2518,4819,7862,9049,9053
686,3013,3144,3754,6342,9100,9677
119,189,2527,6816,7600,9123,9342
1204,2496,3545,5795,6013,7347,9316
4,369,3515,3948,5586,6006,7147,9141
43,400,1590,4592,4679,7026,7404,9982
111,171,1840,3061,3821,8805,8887,9020
113,1094,3293,3333,6687,7062,7065,7069
129,2280,3242,3265,4651,5123,7034,9992
199,689,1496,1521,5240,8245,8385,9941
239,777,2567,4208,4243,6383,8645,8654
251,839,1660,4574,4602,5596,8879,9315
288,1957,2025,2172,6081,6234,8268,8691
293,1336,2146,2419,3390,7493,8768,9871
246,295,3042,4260,4272,6992,7205,9404
296,382,882,2097,6811,8398,8406,8444
314,756,837,2583,3216,8526,9737,9747
322,530,4182,4202,4754,5853,7110,8763
326,2914,2939,5004,5938,5961,5968,6666
318,328,1567,3335,5631,7002,7835,9700
350,422,3399,3857,4884,4901,8211,9692
434,1072,1879,4727,4824,6134,7682,8964
450,928,3531,4021,4803,5099,7989,8895
474,1607,2606,3318,5543,6772,7675,7721
481,1132,2018,2722,3444,6404,9634,9881
493,1114,1167,1741,4928,8009,9045,9219
496,1149,2131,2639,5683,6954,8109,8555
503,1178,1348,2757,7073,7245,7551,8061
507,1978,2487,4391,6212,6324,6906,6911
538,1508,2799,3774,4097,6165,8412,8423
575,2889,3681,4146,4521,5460,5769,8675
253,597,1419,2223,4907,8171,8736,9410
600,3379,3630,3674,3759,6078,7288,7308
642,961,1330,2709,4933,7013,8817,9311
692,966,979,4196,4555,6515,8520,9293
462,694,900,6041,6484,6743,6775,7617
156,449,704,5056,6226,6921,7463,8741
732,1996,2397,3300,3317,7377,7431,9166
749,1738,3278,3362,4345,4362,8896,8986
512,752,2294,4356,4445,6051,8437,8869
763,958,1088,2773,6780,7529,7538,8287
779,980,1314,2646,5180,5636,9291,9890
789,1085,3035,4634,4822,5333,6206,9812
634,675,793,2604,5750,7856,8143,9261
806,1533,1598,2409,3614,7097,8963,9696
823,1261,1811,1947,5991,6812,7407,9664
57,953,1511,2957,5639,7010,8739,8850
1014,2906,2986,4515,4860,6235,6415,6785
1042,1112,1983,3700,4736,6947,7943,8253
1143,1323,2856,3522,4635,4951,7640,9646
1282,1704,3533,3600,4159,6098,6140,9200
116,647,1369,3543,5802,7500,8049,8690
1407,2726,3281,3816,4125,5699,6253,8409
1065,1425,1856,2030,5026,5170,9435,9709
1203,1560,2899,3960,5582,5685,6893,7934
1148,1215,1682,5158,5161,5824,7425,8103
1498,1688,2432,4219,4337,4649,7906,8987
1525,1675,1889,4160,4478,7148,7204,7637
1090,1924,3040,3454,3461,7058,7075,8614
1004,1994,2128,3404,3513,7290,7997,8386
1399,1751,2321,3523,4064,5912,6847,9899
869,1237,2354,4171,4785,7023,7604,7673
2365,2933,2960,3629,4969,5047,6651,7162
1527,2116,2389,3349,3761,4101,9095,9378
926,2588,2623,3101,3715,4744,8394,9625
520,1315,2632,3699,5413,6301,7459,8377
1343,2240,2645,4344,4524,5284,6669,8667
1104,1347,2702,4198,4957,6258,6385,8765
1200,1699,2143,2775,2898,8092,8099,8810
2576,2860,2875,2912,3219,5686,6930,8658
1272,2083,2135,3272,4970,5126,8355,8503
825,1303,4681,4695,4712,4722,6500,8278
2161,2425,3656,4092,5060,6071,6090,6161
2949,3102,3423,4058,4786,4976,5402,7020
753,2515,2674,4779,5544,6337,6396,6718
1358,2741,3152,3651,5761,6070,6306,6677
1861,2299,3535,3792,4174,4958,6814,8283
1574,1863,1892,3500,4015,5281,7702,9889
1543,1831,2788,3192,3817,4189,8547,9809
