322,787,891,1000,1000,1000,1000,1000,1000,1000,1000
189,220,381,410,880,880,880,880,880,880,880,880,880,880
47,152,354,530,731,774,783,947,947,947,947,947,947,947
59,82,151,225,537,894,894,894,894,895,895,895,895,895,895
155,189,315,372,372,378,683,942,942,942,942,942,942,942,942
154,203,372,375,480,505,608,657,949,949,949,949,950,950,950
68,99,190,194,489,489,640,978,979,979,979,979,979,979,979
50,126,134,235,377,378,861,871,871,871,871,871,871,871,871,871
24,97,212,320,507,547,547,794,869,869,869,869,869,869,869,869
89,143,185,194,282,372,528,802,925,925,925,926,926,926,926,926
397,416,416,416,416,417,417,417,417,462,808,833,833,833,834,834,834
2,7,8,36,132,197,342,681,743,981,981,981,981,982,982,982,982
37,62,100,122,180,226,638,863,863,863,863,863,864,864,864,864,864
91,96,117,160,269,290,333,540,900,900,900,900,900,901,901,901,901
14,20,84,107,131,182,243,426,977,977,977,977,977,977,977,977,977
2,9,37,77,160,300,374,423,666,994,994,994,994,994,994,994,994
20,64,166,184,198,246,249,320,409,551,596,999,999,999,1000,1000,1000,1000
5,80,95,105,121,165,211,227,359,915,948,967,967,967,967,967,967,967
3,45,61,68,68,103,117,338,635,780,972,972,973,973,973,973,973,973
82,105,131,338,339,443,474,575,732,732,733,733,733,733,733,733,733,918
92,167,169,187,670,670,670,670,670,670,670,670,670,671,671,671,671,671
1,42,68,182,207,233,294,614,677,810,859,859,859,859,859,859,859,859
70,184,187,220,282,320,389,464,476,481,550,719,939,939,939,939,939,963
45,50,58,163,320,362,364,408,823,823,823,823,823,823,823,823,823,823
26,170,177,194,203,216,414,629,708,715,815,819,819,819,819,819,819,819
43,48,188,261,417,417,460,468,557,605,765,765,834,834,834,834,835,835
5,34,43,44,100,118,340,434,519,635,966,966,966,966,966,966,966,966
6,33,39,81,107,289,319,437,832,873,873,873,873,873,873,873,873,873
6,88,196,244,310,318,423,440,513,547,748,881,881,881,881,881,881,881
26,133,140,206,273,288,292,415,458,529,798,920,920,920,920,920,921,921
4,7,156,167,334,380,431,443,574,596,599,778,862,933,934,934,934,934
76,128,167,259,298,369,375,400,431,431,509,551,620,696,938,938,938,938,938
30,88,100,104,160,245,297,326,402,461,657,657,701,962,962,962,962,962,962
28,41,41,42,112,266,276,319,362,363,656,704,970,970,970,970,970,970,970
21,58,85,89,116,218,261,366,385,687,829,829,829,829,829,829,829,915,996
124,131,134,177,214,241,267,312,454,455,538,800,801,804,810,934,934,935,935
75,92,111,168,233,290,304,394,523,530,565,586,667,848,922,923,923,923,923
84,133,167,209,288,290,348,411,466,666,757,757,757,757,757,758,758,758,879
34,138,185,241,252,263,270,324,335,428,506,700,701,937,937,937,937,937,938
2,113,135,155,185,298,372,390,440,504,745,748,844,844,845,845,845,845,845
22,33,42,64,215,219,247,403,481,482,494,560,962,962,962,963,963,963,963
81,93,111,125,222,262,308,464,465,557,557,587,595,928,929,929,929,929,929
37,52,59,99,153,187,231,334,494,494,549,627,922,960,960,960,960,961,961
22,69,79,119,128,279,419,441,443,475,500,522,522,997,997,997,997,997,997
2,36,165,286,291,304,350,369,454,522,541,584,606,902,909,910,910,910,949
7,143,190,209,315,359,364,365,367,390,554,578,597,912,913,913,913,913,998
54,162,217,515,601,601,601,601,601,601,601,601,601,601,602,602,602,602,634
1,34,38,98,186,241,354,356,366,462,656,901,901,901,901,901,901,901,901
48,159,335,336,338,338,380,664,672,672,673,673,673,673,673,673,673,673,674
65,67,126,135,269,299,550,675,676,676,676,676,676,676,676,676,676,744,986
67,95,311,315,353,354,395,535,566,640,707,707,707,708,708,708,708,708,708
29,99,146,175,210,229,566,712,712,712,712,712,712,712,712,712,712,713,713
8,129,166,185,216,386,481,481,500,728,728,728,728,729,729,729,729,765,855
84,95,208,329,329,331,372,372,441,743,744,744,744,744,744,744,744,744,744
100,117,122,129,153,189,218,295,312,672,701,762,890,890,890,890,890,890,890
35,56,180,192,228,434,480,480,544,572,572,778,778,778,778,778,779,779,779
122,180,230,289,302,325,357,358,448,559,608,777,777,778,778,778,778,778,778
169,170,229,239,251,283,297,307,444,492,637,785,785,786,786,786,786,786,982
83,157,164,166,183,183,201,202,787,787,787,787,787,787,787,788,788,788,788
13,128,149,164,165,277,282,380,524,664,806,806,806,806,806,806,806,806,806
64,111,112,126,183,235,426,530,547,551,582,816,816,816,817,817,817,817,817
10,26,29,73,84,231,344,344,346,828,853,854,854,854,854,854,854,854,854
28,72,107,121,125,202,314,390,396,681,808,840,845,845,845,845,845,845,846
32,107,110,158,170,227,241,396,440,504,846,846,846,846,846,846,846,846,847
6,78,111,239,252,328,375,378,495,496,543,727,842,855,855,855,855,855,855
71,75,90,118,142,320,372,380,401,494,604,864,867,867,867,867,867,867,867
5,37,175,181,213,223,239,248,396,460,666,830,903,904,904,904,904,904,904
59,116,143,151,207,217,220,388,468,473,680,680,729,739,946,946,946,946,946
27,113,140,208,210,269,308,337,397,551,597,607,771,813,926,926,926,927,947
53,55,69,102,140,147,190,222,387,462,661,820,956,956,956,956,956,956,956
1,2,11,16,69,241,263,377,420,424,487,693,801,810,854,906,906,906,906,907
6,18,25,81,164,175,184,223,423,451,452,577,902,902,902,903,903,903,903,903
15,83,204,339,385,385,385,387,387,387,447,468,618,621,771,771,773,797,881,896
5,17,136,189,213,239,451,452,452,452,453,453,584,609,780,898,903,904,905,905
5,20,21,49,115,215,232,274,365,376,400,498,765,812,896,991,991,991,992,992
24,40,83,121,129,130,155,338,392,432,581,582,706,887,887,888,888,888,911,938
26,27,27,252,255,266,266,269,292,482,504,747,763,763,764,764,764,838,935,996
30,38,71,113,144,229,230,379,396,481,543,596,710,710,722,813,813,983,999,1000
34,169,179,196,239,253,253,292,511,557,586,660,717,749,749,750,750,750,750,856
41,66,108,124,157,192,246,279,298,440,487,585,645,694,700,987,987,988,988,988
21,45,55,65,68,154,174,229,229,765,784,823,823,823,823,823,824,824,824,824
49,125,131,160,232,267,331,345,531,644,666,690,690,690,690,691,691,691,843,843
54,66,133,151,154,220,279,379,621,658,659,659,659,659,659,659,659,793,879,1000
57,63,81,228,246,301,349,357,460,468,468,481,497,554,708,936,936,936,937,937
54,55,59,62,119,199,230,274,288,401,549,856,856,856,857,857,857,857,857,857
11,53,66,129,161,211,326,332,428,454,465,567,665,763,892,892,892,892,893,908
66,66,70,240,267,337,422,431,450,477,524,541,582,582,697,755,820,821,887,965
12,60,69,154,159,245,262,267,360,400,474,630,824,860,860,860,860,861,861,922
4,7,26,72,92,96,100,131,282,319,616,694,729,954,976,980,980,980,981,981
26,73,78,141,160,174,189,291,358,423,443,567,850,874,886,893,893,893,894,894
78,143,302,304,311,334,370,453,453,454,454,455,455,539,574,756,838,908,909,910
21,21,68,79,81,98,99,142,243,279,475,932,932,932,933,933,933,933,933,933
80,84,104,104,130,251,271,398,400,433,509,551,583,694,840,864,921,921,922,940
48,82,83,157,175,340,340,460,488,601,602,727,727,727,727,727,728,728,728,805
83,125,135,213,240,265,308,439,467,468,502,565,565,634,759,844,847,847,847,847
56,91,157,219,281,281,333,374,394,411,511,525,646,646,698,821,832,857,921,946
13,92,192,197,242,325,410,410,412,412,486,577,584,584,655,862,866,875,875,931
41,96,244,251,291,294,364,407,501,501,502,502,502,515,588,790,860,860,919,972
97,97,131,161,216,321,377,377,377,582,583,647,754,754,754,754,754,754,755,755
16,59,104,147,155,164,182,199,235,536,537,537,617,637,979,979,979,979,979,980
109,165,167,254,270,294,294,326,427,586,587,587,587,588,588,723,829,829,851,939
10,20,69,91,113,191,243,268,320,528,557,641,831,831,831,831,831,886,954,954
114,141,194,244,246,270,294,551,551,552,552,552,613,658,695,696,716,728,816,817
63,64,116,174,176,180,225,295,332,446,700,700,700,701,701,701,890,937,937,962
27,118,140,204,266,281,531,531,531,531,532,532,532,533,547,734,843,843,867,877
61,86,111,112,120,151,166,213,228,622,636,694,767,813,829,830,845,851,892,973
59,95,122,142,149,201,280,323,430,488,520,526,630,709,709,923,923,923,924,924
71,110,128,158,273,293,295,319,441,452,713,713,713,713,714,714,719,719,798,944
19,79,128,185,257,303,303,347,381,442,519,532,575,605,802,883,886,910,922,922
94,123,131,253,393,406,499,499,500,500,500,500,501,501,501,636,710,757,998,998
41,87,89,131,131,131,154,195,321,445,800,801,801,801,801,801,801,801,934,934
45,132,152,196,242,242,281,330,410,459,496,545,552,662,800,804,861,893,919,979
2,4,19,54,77,134,346,371,407,478,514,516,884,884,885,885,885,885,885,885
4,78,142,177,186,222,344,345,346,427,471,559,679,689,854,860,864,871,928,954
113,137,145,145,165,188,246,251,571,619,620,620,620,620,621,701,831,875,928,984
59,132,145,285,299,315,315,316,420,489,630,630,630,631,631,631,665,907,907,963
15,79,132,145,189,193,245,288,325,427,460,461,462,816,907,971,971,971,971,972
4,37,119,133,147,151,303,353,397,406,428,698,795,805,857,858,858,858,858,935
4,133,137,152,171,191,226,404,405,560,748,748,748,748,748,749,749,749,749,881
153,173,182,202,292,308,326,328,411,430,432,737,737,737,738,738,738,738,760,840
38,102,127,155,421,421,421,421,421,421,421,421,433,630,631,842,842,842,992,998
20,33,70,132,147,156,187,429,468,656,702,702,761,761,796,796,796,796,796,796
31,75,98,141,157,193,256,327,442,453,469,492,699,852,885,886,886,886,886,886
43,47,71,86,159,182,209,231,328,406,406,499,500,939,982,982,982,982,983,983
70,87,90,154,163,175,175,217,225,229,441,618,832,932,932,932,932,932,932,932
13,53,65,154,165,248,390,440,485,485,668,692,696,704,704,705,705,705,959,964
74,118,176,183,189,202,308,352,357,383,402,474,644,645,739,950,951,951,951,951
39,66,87,132,176,282,331,373,444,446,475,503,551,664,889,889,889,889,889,986
136,146,182,252,295,358,375,376,440,445,449,458,460,731,732,732,748,816,881,988
47,72,93,131,182,324,336,526,671,671,671,671,671,671,672,672,672,672,771,804
14,88,90,183,200,246,311,388,465,480,605,613,630,739,739,777,817,852,864,899
