1,1,1,1,1,1,1,1
17,41,53,89,100,100,100,100,100,100
12,15,28,82,82,83,83,83,83,83,83,83
6,16,18,35,43,54,59,94,94,95,95,95,96
5,8,15,21,54,55,55,57,75,91,91,91,91,91
14,21,28,31,32,62,68,68,68,68,68,68,68,68,68
7,14,20,32,41,46,56,57,57,64,81,81,81,81,82
6,11,18,20,24,62,73,73,73,73,73,73,73,74,74
3,4,5,16,21,35,45,48,51,76,99,99,99,99,100
1,9,12,18,30,36,44,44,81,87,87,87,88,88,88
14,16,17,17,25,27,36,62,62,62,92,92,92,93,93
4,4,13,14,33,37,49,59,62,64,77,96,96,96,96
9,10,16,17,20,21,22,34,75,96,96,96,96,96,96
2,5,8,14,18,23,33,64,67,79,97,97,97,98,98
5,5,10,13,21,24,36,45,47,53,89,89,89,90,91,93
8,11,11,23,24,30,41,47,49,53,61,64,94,94,94,96
9,9,10,11,17,20,24,27,59,64,75,95,95,95,95,95
7,16,17,18,19,39,43,46,48,49,67,81,81,85,87,97
4,7,12,17,28,32,36,36,63,64,64,64,89,94,95,95
1,4,14,25,39,55,59,67,67,67,67,67,67,67,67,67
1,1,5,6,8,30,60,61,63,74,75,76,76,79,90,95
4,11,15,18,18,33,36,43,66,79,79,79,79,79,79,82
1,5,6,9,43,49,58,58,58,58,58,58,58,59,59,73,90
5,9,13,18,24,24,31,36,43,43,62,63,81,87,87,87,87
5,9,12,25,31,34,35,39,45,57,58,60,78,78,78,78,78
2,7,8,9,12,24,45,47,61,64,69,72,73,73,73,73,88
10,15,32,35,41,41,43,44,48,48,48,48,49,52,68,85,93
5,23,24,25,26,28,31,32,59,62,62,63,63,66,72,73,86
3,5,13,18,20,23,26,27,28,62,80,80,80,80,80,85,90
3,21,29,30,31,31,31,33,40,48,55,61,66,69,78,84,90
4,6,12,14,22,26,28,29,31,51,76,77,77,77,77,94,99
5,5,9,17,21,24,31,32,61,61,62,68,69,76,80,86,93
6,23,23,27,27,28,32,33,37,39,63,64,65,72,75,91,95
4,8,11,13,25,29,30,35,47,69,70,70,70,70,72,80,97
2,9,12,13,14,26,26,29,34,38,53,53,98,98,98,98,99
6,10,13,19,21,30,36,40,41,41,48,74,75,75,86,88,97
11,14,26,30,39,40,41,41,41,48,49,49,56,62,63,93,97
2,9,16,20,21,28,35,42,42,43,50,82,82,82,82,82,82
7,9,15,22,42,42,42,43,43,43,43,45,75,79,79,85,86
1,20,20,22,22,23,29,31,36,42,59,60,75,80,85,95,100
3,4,4,29,36,42,43,43,44,45,48,52,53,78,88,89,99
1,5,14,35,36,36,36,36,38,42,44,54,70,85,87,89,92
4,26,33,49,49,49,49,49,50,50,50,50,50,51,51,58,82
9,13,15,28,33,41,43,53,53,53,53,53,53,54,54,93,99
2,7,10,34,37,42,54,54,55,55,56,56,56,56,62,73,91
1,3,16,18,24,34,39,40,44,45,55,57,62,88,88,88,98
2,3,9,42,47,50,52,55,56,56,57,57,57,57,58,64,78
4,8,16,20,20,27,32,36,38,53,58,68,70,71,92,93,94
7,10,13,15,30,31,45,48,63,63,66,66,66,66,66,67,78
5,16,24,28,32,32,34,37,42,65,65,65,65,65,66,69,90
3,4,14,19,25,31,32,38,44,46,60,65,83,83,84,84,85
2,7,11,13,24,46,46,46,47,47,47,67,72,76,78,82,89
4,6,13,23,23,25,35,37,43,52,52,67,72,80,88,89,91
4,6,10,22,27,37,43,47,59,59,68,69,69,69,69,69,73
4,6,19,19,20,23,26,38,41,61,62,63,75,76,83,84,100
2,6,6,19,20,32,38,38,41,66,76,76,76,76,76,76,76
3,9,9,16,24,29,32,35,51,51,68,74,74,76,77,77,95
3,5,10,17,20,25,37,38,43,48,67,74,75,76,77,89,96
5,9,14,22,25,30,30,36,38,49,51,71,80,85,85,85,85
4,9,9,11,11,13,18,23,33,72,72,75,90,90,90,90,90
4,9,11,26,26,26,29,33,45,48,51,59,67,91,91,92,92
4,6,12,16,26,26,29,34,51,51,51,52,65,84,96,98,99
