3043,3780,4176,7065,7377,7551,8928,11565,13651,16445,18371,19872,22280,25384,28844,34155,35257,35426,36045,40779,44404,45609,50084,50431,51259,52575,53880,57547,60119,63712,72777,75864,79858,80001,94141,98047,98055,98065,98066,98096,98100,98102,98125,98172,98192,98224,98254,98273,98321,98322,98333
214,4335,6083,6872,7738,9758,17422,18831,20417,22917,23896,24629,25741,26434,29524,29648,31251,31370,31848,32982,38244,39315,40901,43002,52274,53228,54702,55682,55789,56913,60707,63055,67286,70899,72084,74184,76095,77816,87001,90236,90783,96623,96651,96670,96699,96705,96724,96744,96759,96794,96822,96843,96862
156,1235,1527,2835,7476,7768,7989,9716,11611,11793,14246,14642,17033,18083,20616,23252,23694,24756,26221,31450,32730,33252,39516,40683,41720,47965,50167,56735,57198,57833,61393,63782,64528,64966,66105,66943,74334,77558,78948,80669,89811,94329,97148,97152,97215,97216,97217,97220,97227,97263,97271,97282,97343,97366,98818
984,3793,5885,6425,7954,7984,10452,11300,13966,18108,18470,20720,21961,22464,23392,26674,27481,30163,30529,31164,36666,39864,40879,41360,42822,47090,47158,48734,49597,50098,54065,54386,59308,65153,67037,68361,69319,71237,83709,86153,93633,93645,94493,94542,94551,94581,94597,94618,94628,94671,94673,94698,94720,94738,97349
1263,1441,1715,2854,4349,9031,12105,12531,14036,14093,14474,14619,16484,21396,26188,27610,29047,30576,33726,35072,35488,37745,40359,44951,47630,47872,48257,48374,50549,53752,54571,56292,57808,57902,59721,63217,74141,78059,84160,89177,93542,95173,95227,95250,95274,95507,95526,95540,95562,95566,95601,95616,95628,95660,95695
1865,2015,2593,3943,14242,15364,17806,18250,18282,18307,18480,18577,18644,22730,23894,28694,30143,30605,31266,34044,34495,34499,34880,39199,41526,42844,43762,46918,47308,50689,52456,54857,56244,56522,69474,70708,76096,82111,82451,87536,91761,92350,93662,93985,93987,94009,94020,94124,94334,94344,94394,94410,94427,94436,94440
3385,3832,6699,7432,11379,12691,15428,17068,19414,20575,21700,22297,22573,23621,25472,27727,27954,28186,28831,32228,34649,36556,39662,42934,43260,47245,50655,51135,51617,53723,58378,59129,61853,70652,70855,72526,74689,77693,78075,79621,79649,79730,79844,82953,85726,94072,94087,94144,94150,94159,94166,94186,94202,94224,94311
132,177,490,3604,4094,8912,10114,10740,11457,14779,15143,15798,16702,17175,19049,24952,25641,27104,27697,28485,28559,30039,31182,32779,37537,40798,44217,47225,49429,51099,55753,56691,59781,59911,65142,66162,68088,70332,70917,77537,79751,79990,80264,83533,85952,92058,94770,94775,94849,94855,94857,96543,96553,96554,97416,97419,97440
329,1277,1542,4600,5354,5750,6850,9552,11274,11945,13654,13861,19609,22588,24201,25808,25933,26068,26289,31636,32482,34318,35480,37267,46773,52547,53057,54740,55660,56418,56985,57330,60587,62035,64520,67660,68437,74419,76221,78292,78999,79000,82350,83609,88008,88082,88087,88095,88098,88099,88101,88115,88157,88184,88213,88224,88233
397,770,1975,2253,6424,7204,7567,8796,9091,12607,12661,13457,14436,15867,19848,20060,20787,23781,25136,25180,25269,28365,29487,34127,34931,34975,38571,43612,44474,48395,48654,53673,57932,58481,60917,61646,71716,71788,84468,85251,86227,88656,90444,91534,96612,96885,96943,97024,97027,97033,97046,97067,97076,97079,97083,97110,97127
1150,2206,2480,4882,8263,8336,8444,11673,12521,12921,14116,14827,15165,17262,21296,22191,23908,26005,26453,28176,30822,33546,33584,36866,39420,40920,46092,50101,50611,51191,56124,56751,60697,60711,64246,70331,73051,74549,75694,77768,79531,80242,82885,86665,86766,86836,86873,86886,86942,88655,89020,92311,94232,95664,97275,97639,99230
1264,6182,7403,10675,11200,12475,12836,13491,14839,15693,18012,19665,20365,22429,22913,24111,26362,26942,28060,30209,30430,32940,36598,41017,42999,43617,44017,45481,45958,47270,52198,55315,55529,57110,63469,63817,65019,65620,67082,69243,71135,72838,76458,77385,78175,81921,85457,87149,89842,95368,98846,99655,99684,99769,99776,99839,99850
1418,1944,2012,3082,3913,5050,5069,5956,7726,11168,12550,13221,15388,15659,16159,16852,18466,22329,23071,23375,24356,24938,27437,43044,45657,46423,47109,48304,52684,56769,57875,58362,68102,68283,71208,72681,75852,76010,76835,80231,83160,86111,87754,88480,89314,91271,91321,91404,91424,91436,91469,91473,91500,91537,91548,91877,95355
3747,5784,8273,9512,16101,19196,20716,21439,22153,22444,23795,24725,27125,27261,28296,28839,31354,32315,32784,32950,36520,37094,37691,41886,44155,46090,48754,49047,50024,52713,53974,55431,56492,58344,59070,61113,61486,62816,63110,66229,66601,66743,70026,72474,74707,76551,77794,78581,84509,84770,85408,86258,91558,95049,95770,97562,97793
10,2131,4737,5623,6693,8211,9979,10009,14482,17628,18135,20072,20177,20350,23344,23670,24322,26931,29225,29430,32563,34193,34439,37481,38166,39821,42502,46514,52562,52897,53018,53280,54102,60818,61308,62995,65733,67151,67570,67865,71288,80600,83631,87012,87013,87017,87044,87045,87093,87132,87144,87186,87212,87259,87265,87273,87325,87326
46,109,1288,4978,7630,9556,9900,11204,11260,12407,12651,12785,13403,14771,18293,18832,20887,22066,24187,27325,37353,37754,38246,39256,41226,41928,46802,46991,47011,48019,50442,53231,54234,54259,57182,58046,59987,61064,63974,64997,69530,75552,77125,77949,78920,82896,92793,95149,97599,97653,97683,97706,97725,97801,97814,97819,97842,97866
48,351,2577,3269,3473,13326,13671,14368,14528,15285,16412,18323,21968,22137,25494,29246,30587,30906,30930,32494,32975,34326,38996,39095,40010,40642,47125,49356,51439,52369,55068,56647,56659,57127,58160,60088,60183,62380,62491,63188,65464,67923,77514,78275,78298,83753,84168,86834,88302,89832,89853,89878,89888,89962,89981,89989,91980,93391
49,686,1502,5284,7328,9210,9388,16246,16331,18183,22617,24716,27365,28612,28850,30098,30234,30917,31194,31790,32618,34417,34705,36214,38561,39181,39584,45428,46465,55451,55733,55953,58184,58714,59672,60179,61429,63892,65994,69550,70266,73786,74882,75612,77730,78281,78678,79665,79918,80768,81217,84627,87678,90169,93939,95898,98104,99260
53,419,2555,3905,9312,9915,10844,13192,14092,16709,19647,22271,22852,23438,23769,24252,24357,25094,27024,28587,32062,33379,34563,36901,37602,40313,41429,42759,43875,47885,49581,50582,52375,55005,55381,55683,55687,56686,59050,68215,68384,76545,89062,89074,89118,89143,89212,89238,89256,89263,89307,91731,91802,93625,95647,95855,95879,99561
56,431,443,1956,8592,11491,11874,16504,17682,18789,20279,21291,22825,24196,25637,26153,26975,28994,34202,34353,37769,38507,39819,40663,41946,43127,45620,46597,46681,46922,50043,51199,51958,52483,52609,56096,59812,61006,61676,64783,67379,69718,70143,71175,77282,77352,78900,83702,84483,84537,89569,92937,98575,98873,98985,99061,99132,99160
67,78,3888,4495,5437,9413,12341,13062,14079,17854,19591,21186,21399,23480,23794,26721,26924,29438,29677,29751,34143,35596,38790,38977,39404,41707,43555,44551,45298,46594,48288,50423,51758,52428,55861,59205,63291,64782,65202,65771,67553,71977,73813,81267,83529,86387,90737,90879,90883,90885,90890,90897,90951,91047,91050,91100,91171,99687
74,324,366,3462,5084,6634,9269,12773,12811,13525,17056,18094,18718,19537,22099,22977,23494,24960,25208,28528,29873,32430,33012,33181,34796,38046,41364,43831,44057,44892,46555,55087,62120,69991,71033,71846,72933,73642,78308,78792,79933,80296,83521,83525,83557,83567,83614,83686,83692,83750,83824,83862,84456,88595,90222,92828,94557,94735
85,2238,2715,3307,4621,6538,7205,10885,11219,11654,18393,19989,21078,21289,22948,23945,25566,26464,26837,29736,30884,32259,35496,39865,41054,42093,48214,49201,49408,51667,55021,55367,57947,58244,63189,63825,66330,66800,68894,68993,72471,73830,74754,78131,78342,79198,81971,84422,87748,87915,88490,88657,91076,91259,91511,96143,96717,98904
88,220,1237,3182,3845,7239,7851,10104,10332,10422,10533,12516,13091,16695,17512,20820,26231,27828,30982,33532,34623,38902,38931,38937,42286,42381,46697,47239,50583,50685,53541,55521,61766,63350,63607,64193,66789,67622,70640,71764,72737,73741,73845,75200,77346,77870,78653,80202,84400,86477,88828,93221,94267,96509,97409,98638,99400,99942
107,1532,1826,2517,2523,3942,5286,5517,8559,10868,11100,12027,12062,15342,23473,26239,26400,28659,32903,36104,36753,40941,40987,43386,44543,48469,51410,53790,54416,54508,55422,56006,56784,57610,59891,62713,70398,70637,71370,73632,76687,78241,79590,81107,81199,82258,82290,82299,82355,82483,83057,83111,83917,83980,84703,93772,95298,96003
