27036,92977,92982,93216
8632,98904,98927,99748
13062,97580,97629,97940
63500,80849,80929,80933
51958,84524,84533,85196
15394,96896,96899,97022
34271,90575,90597,90768
64520,80475,80600,80616
70794,78264,78275,78878
68848,79000,79005,79358
70331,78581,78644,78655
24725,93709,93720,94057
24883,93684,93705,93939
38931,88984,89033,89263
48705,85695,85700,86111
14836,96794,96810,97771
55327,83567,83581,83736
75039,76901,76922,77349
27254,92934,92937,93086
75158,76847,76854,77352
68980,79072,79078,79081
45045,86927,86974,87265
50601,85155,85164,85291
74067,77286,77306,77552
30050,92001,92011,92149
64666,80363,80376,80806
68797,78902,78905,79607
66721,79627,79629,80234
21642,94738,94770,95061
23916,94023,94048,94224
72688,77771,77778,77974
55080,83509,83516,84106
59136,82089,82090,82896
9610,98667,98674,99260
26521,93199,93212,93279
68730,79118,79159,79204
29080,92293,92373,92465
42805,87607,87615,88184
10507,98144,98161,99399
34348,90534,90544,90785
40459,88473,88487,88792
71980,77984,78033,78214
42128,87976,88008,88099
42535,87760,87774,88142
41452,88036,88046,88677
47630,86116,86120,86345
29681,92169,92174,92187
73528,77476,77504,77703
74181,77242,77246,77542
29824,91892,91899,92596
43831,87408,87413,87559
73653,77411,77415,77732
32782,90879,90882,91668
52221,84539,84627,84824
35374,90253,90258,90326
49783,85451,85457,85520
12738,97706,97723,98044
33777,90580,90587,91267
27024,93031,93041,93115
23494,94166,94186,94365
18523,95812,95816,96060
39203,88810,88813,89385
55542,83529,83533,83607
58689,82355,82357,82810
11734,97815,97819,98843
71523,78215,78232,78241
74831,76995,77039,77346
54438,83827,83862,84084
72458,77799,77802,78152
61897,81366,81385,81563
47344,86139,86153,86575
20118,95160,95173,95760
44533,87072,87075,87531
39311,88800,88805,89295
15646,96670,96675,97220
64270,80409,80448,81084
54387,83753,83791,84280
68915,78966,78970,79360
20652,90047,97562,97950
29130,92295,92317,92469
56800,82972,82975,83464
53499,84144,84168,84400
62920,81015,81020,81256
58064,82641,82725,82781
68196,79269,79282,79464
17685,96098,96141,96287
14093,97110,97127,97881
