44,266,365,599,863,864,865,867,867,868
133,230,374,585,729,730,827,952,954,954
214,272,298,348,425,449,762,845,936,959,960
2,64,197,421,426,617,636,644,796,835,855,975
6,223,249,311,421,489,651,681,740,764,965,968
7,167,202,418,426,597,632,698,735,777,904,905
10,11,397,493,516,539,703,727,728,736,737,871
96,111,169,175,276,285,763,790,844,980,982,997
119,186,230,287,291,480,689,735,796,808,900,947
2,139,233,362,390,429,453,648,691,698,709,740,974
3,47,100,287,399,531,539,546,586,717,834,901,978
4,28,85,124,159,593,631,649,798,810,813,819,955
5,47,139,265,291,321,455,478,572,914,989,993,999
6,15,241,262,331,334,526,532,633,748,923,957,960
7,125,192,368,469,505,541,555,556,634,770,840,906
7,151,190,386,409,464,493,559,664,702,732,831,880
8,42,86,149,368,400,563,594,650,789,882,961,976
8,69,243,259,347,434,526,577,670,767,773,886,909
9,239,243,330,334,336,463,621,677,695,786,821,914
12,31,120,223,335,360,610,632,650,687,890,938,980
14,48,60,113,128,402,567,709,772,863,904,908,980
16,21,181,358,381,407,507,508,790,797,820,836,846
18,49,143,306,331,352,452,654,666,820,855,879,943
19,66,84,179,283,409,478,519,763,900,906,924,938
20,84,190,393,411,484,532,544,625,646,743,814,982
21,92,97,174,223,380,395,497,502,565,769,865,884
23,99,124,382,399,419,423,444,679,824,834,879,939
24,74,208,223,264,331,336,549,736,899,936,944,944
25,96,105,228,400,517,525,574,637,660,883,884,934
26,61,148,222,334,369,417,690,744,807,823,862,965
26,130,291,300,343,434,515,681,702,703,709,734,900
30,127,158,186,374,394,473,651,695,765,780,887,948
30,203,258,294,355,458,492,577,578,611,657,966,989
31,48,78,356,361,371,381,523,661,841,925,944,948
31,144,148,255,376,379,488,626,680,708,761,879,993
34,125,130,226,261,281,511,665,688,780,886,897,984
35,51,199,295,302,449,466,547,654,762,880,911,917
35,73,180,305,338,484,489,496,638,820,830,830,950
36,47,97,150,315,493,556,618,626,807,852,906,965
36,147,213,236,238,351,467,552,644,836,848,928,972
36,246,278,278,348,388,459,561,642,645,836,857,894
40,247,262,283,407,428,449,522,691,724,730,736,949
41,46,168,219,319,414,432,556,768,825,858,907,915
41,98,199,211,221,336,446,690,697,797,871,891,970
41,181,214,216,430,459,482,578,708,753,762,817,827
41,210,242,250,412,462,507,549,751,751,751,753,789
42,83,93,207,462,504,543,633,640,657,763,895,946
42,138,190,225,392,452,562,588,648,715,776,830,910
50,83,99,200,266,555,577,584,587,719,851,948,949
52,94,257,290,438,460,519,519,668,749,779,787,856
52,268,276,312,339,446,522,549,610,610,647,913,924
54,74,276,283,319,330,530,550,552,705,838,977,980
54,150,166,196,322,395,458,552,772,798,806,827,972
59,269,297,308,402,435,517,569,586,723,734,751,818
61,144,152,188,539,554,585,602,624,658,669,834,858
62,105,181,228,262,329,579,624,684,758,818,908,930
64,111,245,280,281,306,433,460,614,749,971,975,979
67,127,284,292,355,391,419,547,682,735,838,851,880
69,105,227,348,380,387,411,502,728,747,773,834,957
70,206,233,263,321,344,460,619,688,728,744,853,939
71,94,132,198,301,369,536,616,650,774,788,947,992
73,88,190,280,315,494,568,573,580,599,757,959,992
79,139,148,170,251,375,450,667,769,791,825,855,949
93,147,236,361,392,392,394,521,562,618,825,947,980
94,142,251,389,428,432,477,514,608,659,785,826,863
95,185,273,302,323,501,506,506,507,619,869,884,898
97,175,237,307,326,377,537,641,667,708,768,809,819
110,123,147,218,236,468,474,597,617,755,805,928,990
115,122,181,274,354,408,537,567,593,715,805,892,905
123,165,204,216,282,286,420,594,712,721,799,955,991
129,143,162,168,196,384,402,695,731,778,786,901,993
130,174,313,342,445,449,556,578,628,664,668,689,832
139,163,210,244,280,377,432,641,655,700,708,933,986
157,248,259,320,340,448,509,554,618,651,692,735,937
170,220,346,366,372,454,479,481,482,506,807,853,932
174,326,332,353,359,372,383,525,527,700,776,802,839
187,221,271,373,401,426,455,485,626,646,738,818,821
214,226,276,302,355,391,472,560,580,729,738,811,814
