221,946,947,947,947,948,948
12,125,867,980,980,980,980,980
36,369,628,900,992,993,993,993
7,51,95,143,165,192,266,286,455
92,159,351,395,544,593,939,943,944,944
94,190,313,334,691,709,818,827,949,979
139,263,372,569,642,689,732,736,825,937
14,198,401,502,574,618,670,708,717,738,764
19,73,409,411,432,640,709,709,735,799,968
24,312,348,458,567,599,614,679,724,772,807
31,119,174,225,624,624,734,751,762,863,997
40,163,185,330,334,504,651,786,938,984,989
44,144,233,257,386,556,749,817,905,906,907
48,280,390,402,537,556,638,644,703,820,886
111,147,276,379,394,549,668,736,880,880,884
152,157,336,497,522,532,621,636,797,818,836
221,265,355,389,395,411,463,666,823,957,959
2,111,139,174,283,319,509,646,830,961,965,965
2,230,382,399,402,433,489,554,572,697,827,917
3,10,266,311,387,479,584,608,687,734,853,982
4,47,61,321,449,462,507,625,729,786,936,977
5,47,122,204,352,428,562,737,825,834,834,954
6,96,149,243,291,450,481,731,819,838,862,938
6,97,307,347,380,426,453,632,715,790,864,887
7,47,268,358,381,423,452,751,773,779,814,851
7,150,269,315,321,348,579,602,626,846,884,957
8,99,196,315,371,373,684,747,753,763,777,818
8,124,291,302,302,434,546,703,761,776,789,868
9,113,151,211,444,505,651,755,757,758,762,788
11,170,236,355,459,467,508,577,688,769,785,879
15,69,78,412,449,493,547,593,765,819,820,844
16,98,305,353,429,473,531,547,698,744,797,913
18,42,123,300,342,507,530,580,807,845,856,954
20,74,227,326,419,489,519,691,698,751,807,883
21,50,123,210,426,478,616,617,808,821,865,869
21,105,138,148,428,501,552,664,665,879,894,909
23,30,71,110,242,659,702,727,789,806,841,904
25,83,127,241,276,418,586,668,689,821,978,992
26,133,283,284,377,448,568,657,667,744,751,966
26,168,298,432,446,480,494,507,577,748,848,880
28,175,190,216,220,343,391,836,838,853,904,910
30,181,247,326,359,468,526,618,677,776,791,905
31,36,274,278,329,346,511,626,809,879,890,895
31,190,301,365,392,420,554,651,680,749,773,798
34,181,273,340,354,374,445,690,738,767,774,934
35,62,170,435,536,539,580,611,657,700,712,867
35,97,237,287,302,526,578,619,650,708,906,959
36,70,297,402,432,446,573,578,578,594,924,974
41,48,223,248,360,454,519,541,805,857,897,911
41,148,190,276,368,469,525,634,740,780,827,906
41,167,214,281,334,338,438,532,834,855,898,972
41,179,287,339,384,484,550,555,561,649,925,950
42,54,202,262,400,506,552,588,729,735,863,971
42,228,262,271,332,372,560,631,637,834,836,899
46,139,181,306,381,474,477,523,728,735,915,999
49,187,259,278,419,460,484,646,655,728,839,900
52,125,200,203,366,430,660,664,669,681,865,989
52,147,259,460,460,478,482,594,617,769,790,796
54,186,219,251,272,409,482,506,820,891,900,914
59,169,226,230,258,452,610,667,736,753,852,892
60,124,143,262,323,485,515,719,740,762,863,908
61,79,88,100,181,549,708,723,780,798,914,923
64,84,105,226,335,414,543,567,763,884,949,970
64,174,175,223,380,492,519,586,633,813,901,944
66,158,168,228,397,400,565,632,650,708,960,972
67,208,319,369,388,459,464,506,556,763,814,991
69,130,336,348,356,449,493,562,654,661,871,975
73,99,206,236,244,294,633,650,811,824,886,948
74,94,188,280,330,331,376,610,831,928,930,932
83,97,148,283,355,539,619,644,648,768,796,924
84,207,218,264,331,392,434,525,730,778,955,986
85,130,308,407,421,426,577,587,610,700,802,851
86,199,239,246,391,408,537,559,626,692,939,982
93,142,180,291,462,493,514,585,641,787,858,858
93,245,249,285,292,331,597,618,645,681,908,960
94,243,250,251,282,466,549,658,743,768,770,830
96,214,255,276,320,374,375,552,654,871,952,965
105,130,233,306,393,496,502,517,682,826,832,882
115,127,129,196,368,377,392,585,721,949,955,990
120,214,238,336,399,407,449,516,539,735,975,976
128,199,222,261,361,555,556,695,695,702,705,825
132,139,223,236,455,517,521,597,647,772,830,835
144,147,150,322,383,563,599,641,690,695,715,855
162,186,213,216,281,295,394,648,805,840,928,936
166,197,210,362,421,425,472,522,688,730,810,901
223,280,290,344,361,417,458,488,527,728,855,933
