226,657,730,913,914,914,949
236,651,880,880,884,886,886
295,338,702,989,993,993,993
278,330,624,751,825,825,825,845
6,147,233,579,660,895,901,904,978
23,185,223,727,728,851,851,852,863
25,285,302,602,691,749,882,883,884
41,119,493,519,552,743,930,934,972
46,96,397,469,556,863,955,960,961
122,206,255,507,561,808,948,948,948
138,167,399,574,655,768,779,832,991
142,259,478,736,736,736,738,738,740
3,79,85,265,458,773,879,906,906,949
21,59,84,147,402,751,955,957,957,970
34,251,269,368,369,624,668,765,975,980
49,84,248,360,585,708,708,735,890,936
54,242,262,321,531,681,687,797,827,901
70,97,186,419,452,586,864,871,879,879
74,199,244,343,421,552,734,780,976,980
110,139,165,190,402,650,764,949,950,984
123,144,321,523,526,614,684,729,818,821
124,148,417,448,455,554,689,790,823,855
125,125,148,226,352,599,818,965,965,980
129,139,168,408,504,597,666,786,924,982
210,220,438,449,554,594,626,688,762,762
287,351,356,459,484,508,560,584,767,947
2,47,100,320,462,610,664,708,728,751,911
2,124,276,287,308,355,462,751,855,923,960
4,258,280,283,307,519,585,618,753,805,891
5,105,181,346,348,555,556,577,796,835,999
6,61,276,377,387,527,587,769,769,772,772
7,26,42,238,271,597,657,763,887,907,908
7,83,272,412,479,506,516,626,695,770,937
7,170,222,282,433,556,594,645,695,753,946
8,16,250,262,383,434,511,680,869,900,990
8,113,236,426,426,501,539,650,708,790,906
9,111,233,278,300,507,522,691,785,928,939
10,147,292,366,381,484,549,562,712,856,944
11,115,190,280,331,458,610,761,762,831,954
12,163,259,344,377,434,580,649,813,814,858
14,69,127,214,342,374,650,715,846,975,977
15,41,369,374,392,419,449,747,820,820,857
18,73,181,291,445,493,664,731,744,758,905
19,162,174,247,319,474,644,646,787,899,932
20,69,216,263,348,388,593,648,798,980,980
21,40,74,223,281,549,610,732,789,992,992
24,48,144,376,399,517,541,586,834,880,954
26,41,96,228,359,633,654,786,819,827,834
28,50,203,336,394,477,632,641,658,925,959
30,93,249,382,390,517,546,625,698,865,908
30,159,196,323,335,392,432,644,867,936,989
31,36,143,261,336,464,618,807,807,841,959
31,83,262,305,361,430,690,729,777,796,839
31,221,225,330,400,432,556,757,776,778,797
35,94,148,150,526,626,640,679,682,799,924
35,130,223,423,473,489,494,537,717,810,972
36,78,92,239,452,567,617,617,807,898,900
36,111,120,187,334,453,646,788,840,844,944
41,44,175,322,348,460,697,709,768,834,905
42,67,97,213,283,532,539,818,867,871,974
42,216,273,311,326,381,478,599,763,943,971
47,51,281,298,326,608,667,688,689,709,939
47,190,197,294,372,514,519,659,728,817,966
48,199,347,446,446,449,496,555,723,789,805
52,66,127,230,429,522,578,647,820,915,917
52,123,198,375,488,506,507,544,724,834,952
54,98,179,251,380,515,651,698,735,838,904
60,302,384,407,409,425,449,482,669,737,979
61,139,268,480,502,509,532,568,577,702,965
62,174,181,276,411,547,562,578,773,855,884
64,88,274,276,409,432,577,641,721,853,968
64,196,228,290,421,505,536,539,648,938,938
71,130,139,152,379,466,619,749,836,868,894
73,168,291,334,358,455,549,621,755,836,863
86,214,218,283,506,543,563,572,654,811,853
93,266,286,371,395,428,444,567,695,858,900
94,157,180,181,210,552,692,730,780,830,897
94,230,313,386,411,428,633,634,642,734,798
95,128,214,400,401,454,481,670,715,836,909
97,151,166,174,354,391,677,791,824,830,848
99,219,332,336,402,463,521,619,667,735,910
99,245,319,407,450,493,497,631,632,709,821
105,132,190,241,331,468,525,637,838,892,944
105,188,257,266,361,530,537,559,700,814,986
130,208,237,246,329,355,393,681,830,947,947
133,143,355,391,395,569,593,651,665,703,705
149,150,200,353,414,489,588,611,740,744,865
158,192,236,340,392,435,616,690,703,735,806
169,204,284,297,302,339,373,573,661,819,997
170,223,301,306,365,467,472,628,636,802,933
175,243,315,334,362,460,565,578,618,826,827
186,202,227,368,418,420,525,547,719,763,928
207,280,315,372,394,460,485,492,748,774,776
211,221,243,380,426,482,502,550,638,668,982
264,291,306,312,331,389,459,580,700,809,862
