100212315,155463053,826785439,952795558,964707189
100550399,201174392,780588634,952798834,964708921
100591807,236026494,827116064,912610490,923352532
100727377,113953474,867440711,952999196,964813200
101447761,303204275,675890630,953814939,965509091
101480430,237166597,685869362,976882221,998327829
101528377,248802050,771770019,932827833,944950482
101581327,168722682,891268800,913924779,924339415
101685813,191051120,868515389,914021768,924439163
101826579,417589017,686717817,891420031,902237396
101939570,127026592,891568753,934037747,945417869
102027118,105875975,816658901,977754594,997525458
102046750,147769969,828740665,955059117,966113643
102069878,127446386,848750610,955242992,966170979
102139334,407512192,739355166,869424308,881297017
102377681,115976394,806128657,977981220,997389227
102515134,116044034,806129505,978001757,997270053
102759426,158086710,817072527,955481543,966412225
102868973,148370181,773108348,978336877,997067744
102899738,148376201,773117429,978513672,996781755
102939227,148540108,773134254,978731020,996418650
103060955,170824504,750558278,978912371,996407063
103101505,138061797,783175176,978919337,996384522
103222950,138081643,783292884,979009959,996305685
103561351,192346086,728443361,979119017,996200786
103563803,192361045,728561967,979153850,996009972
103658633,282568982,688636686,957001714,967863627
103805612,149070561,904667360,915781622,926434932
103947664,224978314,695753260,975288734,999758121
103958948,225053109,695769371,975440644,999582521
103967246,313638367,705888544,932474149,943921112
104023782,302201821,757383408,912814752,923410068
104152170,248133556,770975948,932551172,944048811
104357254,236564726,867663392,890763639,900591254
104412846,214159490,706299868,976270403,998700786
104805011,179608223,838090285,932672416,944595592
104999641,268832470,706496323,953888525,965587378
105164758,114932812,804665251,976938437,998291172
105185044,126500562,792824481,977114988,998093207
105195599,385083047,726742369,880531037,902192001
105260061,202298934,771986570,954439621,965862220
105269769,156976528,858869797,933631311,945245787
105280608,168779659,805251616,954523778,965973780
105471051,137193434,782033884,977499197,997667780
105483332,180306563,738693363,977695293,997661431
105896973,191291531,727365573,977875418,997512070
106131576,293055688,805939207,891930086,902763714
106178901,315751101,697802394,934412064,945552597
106324074,315826813,697813981,934469251,945559746
106598925,293257313,759461435,915110302,925478729
106639696,203634700,848978142,915148065,925575648
106721043,158314334,759485324,978153719,997200055
106887108,227521267,869656492,892306642,903616390
106933556,191924136,859822946,915296929,925764401
107006641,216801590,794755313,935106530,946198254
107052405,181433177,869900098,915361321,925888585
107086658,181460653,829636518,935283255,946417022
107379405,203992371,806688113,935284271,946472466
107425894,239225228,677800625,979107696,996244382
107448569,171097186,839483045,935326611,946491142
107624085,409009206,773379491,849554118,860407671
107671889,365797919,728650640,892987107,904628709
107696095,228135723,688661839,979301900,995857147
107714304,228136121,688744204,979370888,995676734
