40058,40594,40961,42987,43990,44698,44849,44862,48466,49463,51559,52033,53547,55018,56197,56803,57446,61617
279,31267,35278,39320,40585,42766,46894,48505,53578,56871,59402,61164,62155,63985,65192,67119,70325,72442
459,25746,35610,39483,42953,44556,47162,48904,54223,56238,57376,60209,63123,64385,65325,68074,71292,72009
732,32752,34912,36664,41102,43483,44708,46200,50832,55974,58800,61017,62107,63961,64618,65650,69585,84030
928,22070,37649,39892,41159,45470,47380,49099,52361,54280,57570,59429,61135,62179,65704,68082,70390,82350
1085,24747,33801,37814,41395,44198,47836,49133,52388,54398,58103,59625,62600,64663,65902,68180,70431,80828
1296,25331,33971,36154,38334,44306,45787,53170,54427,56243,58314,60039,61310,64980,66066,68463,70550,78386
1347,36291,38378,40257,42840,44313,46025,47954,49620,53245,54540,58350,60187,61411,66368,68637,70736,76628
1383,32366,37231,39870,41216,44220,45918,47987,53633,55822,57217,59280,61061,62514,64880,69385,71074,72070
3118,5004,10930,13405,14899,16109,21360,22342,28380,43449,85764,87211,88881,91028,93609,95776,97453,98409
3212,5171,7003,9178,10969,13453,17688,25180,28389,57815,85860,87352,88999,91249,93690,95941,97729,98249
3467,5203,7099,9183,11037,13468,20081,21483,28632,57911,85866,87444,89069,91270,93692,96025,98012,98185
3683,5419,7141,9295,13493,16279,21505,27144,31722,41541,85900,87501,89114,91371,93798,96028,98071,98122
6800,8949,17618,19764,24991,27034,35038,45227,51458,57769,70755,73138,75210,76813,78686,80974,82707,84196
9617,34370,36360,38436,40317,42878,44405,48105,50118,54692,56465,58681,61507,63918,65208,66487,70901,74662
11125,15116,17743,20127,22868,25391,30466,36831,58076,61727,64165,73427,75435,77164,79153,81112,82852,84349
14288,27121,31467,34906,38579,44425,46869,48183,50219,54986,58753,60327,61557,65258,66912,69518,71066,72693
14657,19664,21315,22154,27029,29958,33239,41196,44932,51107,59605,72735,75177,76730,78517,80937,82650,85525
14942,20070,21418,22750,30283,31636,33463,35077,40072,47061,68124,73221,75218,76814,78977,81069,82723,84209
14990,16250,17732,22821,27134,30295,31718,41495,43904,56218,61628,73340,75353,76982,79067,81106,82794,84300
16201,30206,31596,34114,35683,38603,45676,47886,53445,56441,60373,61746,63132,64542,65529,68961,71332,71661
17539,27997,35092,36738,38640,40638,42992,46931,53702,55158,56876,59098,60560,64131,67767,69702,71313,72253
232,695,770,785,20154,21095,25938,27268,29573,29885,30683,31406,33646,33797,36676,37267,39093,40000
20740,29291,33424,35157,37219,43260,47143,48613,51910,54190,55967,59267,60943,64494,65635,67913,70200,71761
24520,31124,34123,36674,40921,43402,45369,47528,49414,53383,54748,59140,60727,62143,64582,65889,71002,72438
28649,32941,35116,36967,40668,43126,47040,48586,51640,54097,55957,56922,59241,60693,62009,65566,67907,70002
1507,3770,5515,7269,11258,13662,16402,23162,25446,31734,49218,84351,85931,87588,89235,91407,93950,96098,99624
1601,3927,5534,9358,11666,15379,17938,20195,21603,28964,52071,84355,85951,87681,89522,91764,93982,96110,99526
1786,4065,5655,7369,11705,13871,15387,16563,23323,27284,60559,84400,86037,87686,89613,91858,94040,96419,99507
1894,4106,5685,7471,9675,11715,16571,20587,21709,25819,62015,84548,86114,87688,89670,91872,94054,96464,99470
1896,4180,5794,11727,15642,16627,18254,20629,21713,27483,42757,84648,86220,87747,89724,91900,94197,96523,99466
2178,4243,6100,7594,11748,15665,16775,20650,21737,25992,52739,84771,86332,87750,89986,92472,94534,96560,99301
2185,4249,7623,9909,11839,15784,16824,21832,26100,27766,40696,84814,86537,87810,90085,92872,94547,96578,99077
2267,4350,7850,9918,13946,16875,20758,21884,24203,26222,36010,84921,86654,87904,90152,92947,94564,96698,99004
2340,14034,18934,24353,26507,29671,32595,34418,36068,46668,48011,62309,67110,74221,75835,78083,80388,81924,83658
2526,4405,6434,8124,12329,14165,15944,17141,20875,27918,53302,85125,86992,88253,90266,93037,94760,96820,98711
2623,4443,6458,8229,12411,15964,17288,19320,26570,29748,39811,85188,87027,88262,90333,93142,94781,96837,98692
2710,12672,17474,19479,29752,32908,34860,36204,44798,46911,50468,55552,57257,74504,76369,78373,80742,82209,83885
2793,4468,6550,8644,10490,13238,15970,19490,26794,34873,37657,85369,87084,88411,90788,93424,95108,97412,98564
2934,4600,6771,13297,14501,16077,17549,19593,22096,28083,37766,82622,87127,88447,90836,93428,95432,97439,98529
3081,4893,6793,8728,10739,13387,16097,17592,24787,28165,47010,84165,87207,88520,90941,93509,95553,97447,98513
4359,6331,8096,9920,12260,15868,16927,20811,21918,27916,39406,84945,86962,88013,90193,92990,94573,96755,98884
4460,6540,8398,10386,14240,15968,20981,22052,24683,26579,27967,85255,87074,88332,90353,93278,94874,97065,98642
6306,13944,18884,24179,29533,30776,34138,35973,42838,46373,49552,52950,58844,74138,75725,77630,80166,81757,83421
6319,12105,15834,18920,27842,30948,32411,39391,40862,44540,46649,60989,66981,74188,75736,77824,80251,81883,83454
7289,13731,16534,23252,30540,31771,33896,36945,42075,44206,45841,49244,71090,73640,75539,77321,79616,81551,83046
7543,9696,13910,23863,29383,30641,32245,37008,39065,46103,52637,56737,66420,73753,75636,77426,80012,81687,83362
8687,10609,21154,24786,26998,29899,31458,33197,39944,41187,46936,51091,70684,75077,76640,78494,80842,84067,85377
