232,459,732,770,785,928,1085,28380,33463,36831,36856,37278
42766,43483,43990,45227,45841,46103,47040,47987,49244,50118,50219,53383,54540
279,32411,44708,52637,53245,55957,56238,56465,56876,57376,58681,58753,59267
695,39811,41541,47380,49133,52950,54223,55967,56922,58314,59402,60989,65566
1296,34860,41196,46869,47143,51091,53578,57217,57911,60727,61411,62155,67439
1347,36010,40317,44540,46894,52388,53702,54986,60187,61017,62015,63961,65529
1383,36738,36952,40862,49099,53547,54190,57446,60693,61164,62107,64131,64581
1507,2934,4350,10930,12329,16627,22070,91270,93278,94534,96028,97412,99624
1601,3081,4359,6800,10969,13910,31153,89986,93424,94547,96098,97439,99526
1786,4405,5685,7003,8229,12672,33646,88411,93428,94564,96110,97447,99507
1894,3212,5794,7099,8398,21665,25819,87588,93509,94573,96419,97453,99470
1896,3467,6100,7141,8644,17963,27134,88520,93609,94760,96464,97729,99466
2178,6306,7269,8687,9918,16109,18247,91872,93690,94781,96523,98012,99301
2185,3770,15473,17288,20081,21737,33971,84400,85764,86992,88999,90333,91900
2267,4893,11715,13453,18620,20127,46936,82707,85860,87027,87747,89069,92472
2340,6434,14240,17539,21154,23252,30588,81632,85866,87074,89114,90788,92872
2526,5171,6458,9183,11748,16402,18920,89235,93982,95553,96755,98249,98711
2623,4180,5203,6540,9295,13662,31722,85931,94040,95776,96820,98409,98692
2710,4243,5419,6550,9355,12105,27496,91028,94054,95941,96837,98513,98642
2793,4249,5515,10739,12260,13871,15944,93142,94197,96025,97065,98529,98564
3118,9696,13933,15970,21603,25775,27918,84300,85255,86332,87501,90085,91407
3683,17141,21713,22821,24683,30482,38334,77164,78386,80166,81343,82622,84355
3927,6331,7369,8949,10238,15642,17474,90353,93798,95108,96578,98122,99004
4065,5004,7471,9178,11727,15665,18884,87750,93950,95432,96698,98185,98884
4106,7543,10386,14288,17549,26534,35116,82794,85900,87084,87810,90836,92947
4443,13944,16875,24495,32290,34873,42878,66066,78182,80012,81106,83380,84349
4460,13297,13946,16097,21709,22750,24520,84351,85377,86654,87681,90193,91858
4468,11666,13387,15387,20070,27144,27997,83454,85525,86962,87686,88881,90266
4600,6319,8728,9920,11705,13405,18254,87688,93692,94874,96560,98071,99077
5534,6793,8096,14942,17732,29958,39065,84196,85125,86114,87352,88262,89724
5655,9675,12411,20740,21567,22096,30206,81988,85188,86220,87444,88332,91371
6771,17688,21483,22052,29899,30948,36674,62497,80842,81883,83046,84165,84945
7289,14165,16201,20981,29573,36154,41495,70431,78494,80251,81551,82650,83658
7594,10490,11839,18934,20424,23766,25180,76182,87127,87904,89522,90941,92990
7623,10609,13731,20587,21975,23863,25331,75353,85951,87207,88013,89613,93037
7850,9358,14899,16571,20629,26794,28937,75435,86037,87211,88253,89670,91249
8124,15968,16775,19490,24203,27029,52361,72693,78083,79628,80974,83356,84209
9617,13900,19479,21505,31124,31793,36676,75438,77824,79616,80937,81924,83060
9754,11125,13238,16077,17938,22342,27941,82209,85369,86537,88447,90152,91764
9909,15379,16927,20875,27967,37814,40594,68082,78373,80090,81112,82350,83421
10342,13468,20154,21884,26507,27284,37145,75835,78686,80481,82723,83736,84648
11037,15116,19593,20758,22154,32245,40504,76813,78163,79970,81069,82109,83362
11258,25938,32366,33801,39406,41216,42953,44306,71313,73221,74497,75636,76982
13493,28389,30641,32908,36291,37219,39944,54692,68637,72009,75210,76067,77393
14034,20941,25992,31458,34912,41395,46911,62009,70390,71332,73340,74504,75675
14187,16250,21095,21832,29671,31596,38436,61135,78517,80388,81573,83665,84548
14501,15834,16534,21949,29752,30683,46025,53445,80742,81732,82852,84030,84814
14657,15868,19248,21418,26579,31734,33197,65635,80828,81757,82984,84067,84921
14990,17743,25746,29120,34614,44198,46649,62600,69702,71074,74188,75539,76730
15284,19664,20811,29383,37766,39391,47570,61739,71292,73138,74413,75628,76814
15784,20195,21315,21918,23323,24991,31718,73679,78977,80650,81687,83885,84771
15964,20650,25446,26998,34595,40257,47345,67767,69585,71066,72442,74138,76640
16279,24787,29699,31636,39892,40696,43260,48011,70684,71761,73640,75177,77371
