44698,44798,44849,44862,45227,45470
37766,40961,42757,43990,44313,44540
45787,45918,46025,46103,46373,46668
47987,48011,48105,48505,48613,51107
279,2267,4468,90333,99077,99466
695,3467,6319,88332,98513,98564
732,3927,7289,87686,98071,98185
770,2710,9918,87027,97453,98012
928,2526,3118,92947,98122,98249
1296,2178,3770,89613,99507,99526
1383,1894,4249,90788,98692,98884
1601,4893,5685,90193,96698,96820
2340,4350,8124,85900,97447,97729
2934,4180,6771,87501,97065,97439
3683,5004,7003,85951,96837,97412
4065,8229,9358,84349,94781,95108
4243,6331,6458,85525,96578,96755
4359,4443,7269,87681,96028,96110
4460,6550,11748,81924,95432,95776
5171,6540,6800,84355,96464,96560
5203,6793,7471,84300,96025,96098
5419,6434,16571,79229,94040,94197
5515,5655,8398,83380,96419,96523
5534,7543,11705,81988,94547,94573
5794,7850,13468,80742,93982,94054
6100,7369,9295,81632,95553,95941
6306,7141,9355,83454,94760,94874
7099,9178,10238,83060,93037,93278
7594,8687,12329,78182,94534,94564
7623,8644,13900,78686,93428,93609
8096,8728,11258,80166,93692,93950
8949,11715,13297,76067,92872,92990
9183,10969,12105,76982,93142,93509
9617,9909,10490,78386,93690,93798
9675,10930,13453,77488,91872,92472
9696,11125,14942,76369,91858,91900
9754,13946,14165,75835,90941,91249
9920,15379,15834,74138,90266,90353
10342,12672,15473,75539,90836,91028
10386,10609,13387,78373,91371,91764
10739,14288,14657,73529,91270,91407
11037,12260,15970,76814,89724,90085
11666,14187,15665,75736,89114,89522
11727,13933,16201,75725,89069,89235
11839,14899,15642,76182,88447,88881
12411,17474,18254,73705,86962,87084
13238,14501,17141,75572,87688,87750
13405,14034,15116,73679,89670,89986
13493,16279,16534,73427,87904,88253
13662,16250,16402,73753,87810,88013
13731,15387,16775,75438,87207,87352
13871,13944,21884,69518,88262,88411
13910,15968,17592,70901,88520,88999
14240,20127,20195,72009,84548,84771
14990,15284,17782,75077,86220,86537
15784,20070,25446,66216,84165,84209
15868,15964,20758,71332,85931,86037
15944,19248,22096,67119,85369,86114
16077,16824,20154,68180,87211,87444
16097,17618,18884,71661,85764,85866
16109,16927,20740,67913,87074,87127
16563,17288,17743,68961,87588,87747
16627,17539,17688,70390,86654,86992
16875,18934,20650,69385,84921,85125
17549,17732,22070,67907,85255,85377
17938,21603,21709,65889,84351,84400
17963,21832,26100,64494,82707,82794
18247,20629,21315,65566,84945,85188
18620,21418,24787,64663,83046,83356
