273881,101185644,541634076,796948325,835595245,974083809
5969467,46657026,553458491,797429306,864079663,972501576
56724914,154649474,357915090,797645767,899683579,957567427
62622238,160545433,388155241,766084831,903722549,954481195
63530088,219390769,297688535,810987938,907889722,949970768
74930784,185489096,314282302,815867043,913442868,944605364
90024170,203995979,259491019,833523676,926509927,938864215
176750242,440670104,516438491,635325627,715804572,767660199
207659617,437313477,576066437,611452932,639442135,759585529
212854333,440342565,515111873,571811436,693183808,800199097
231779694,399513040,527210532,579491364,719925630,773111881
319428814,403857021,464273198,528065248,734837444,791760900
205437284,268182749,391796692,417445747,451293411,488199413,632147771
10309146,327640335,407585305,476691087,590253108,673570427,749112129
121449557,267058550,341111629,487195041,605239550,676860803,749375247
205833528,260479787,273437577,556848802,589635634,645885730,692231696
