273881,327640335,907889722,974083809
5969467,273437577,913442868,972501576
10309146,297688535,926509927,957567427
46657026,260479787,938864215,954481195
56724914,267058550,944605364,949970768
62622238,528065248,797429306,833523676
63530088,488199413,797645767,835595245
74930784,451293411,800199097,864079663
90024170,417445747,810987938,899683579
101185644,391796692,815867043,903722549
121449557,611452932,719925630,766084831
154649474,541634076,734837444,767660199
160545433,515111873,749112129,773111881
185489096,476691087,759585529,796948325
207659617,464273198,749375247,791760900
212854333,605239550,645885730,715804572
259491019,589635634,635325627,692231696
314282302,556848802,639442135,693183808
403857021,440670104,632147771,676860803
440342565,487195041,576066437,673570427
176750242,203995979,205437284,205833528,231779694
268182749,341111629,399513040,516438491,590253108
219390769,388155241,437313477,553458491,571811436
319428814,357915090,407585305,527210532,579491364
