7,132,151,159,230,285,287,324,335,350,350,361,377,384,468,511,609,619,646,677,685,722,781,795,808,833,872,890,921,927,931,931,932,932,932,932,933,933,933,933,996
46,58,139,157,247,300,351,357,387,417,421,457,460,530,532,547,561,572,586,614,620,642,669,701,715,737,747,860,897,935,935,958,961,962,962,962,962,962,962,963,963
8,41,88,98,144,160,232,299,330,330,370,391,441,512,533,541,551,565,587,602,607,616,637,645,712,731,752,789,884,884,884,884,885,885,885,885,886,886,886,886,930,952,1000
45,45,93,110,144,162,176,236,302,362,367,423,451,453,461,481,497,557,612,614,632,640,654,681,684,687,712,737,773,786,787,854,881,901,978,979,979,979,979,980,980,980,980
15,21,107,119,160,165,174,183,266,320,327,328,370,390,434,483,509,531,542,549,551,552,565,610,611,629,639,652,663,664,698,701,702,708,813,827,835,860,871,882,911,922,957,999,999,1000
3,11,44,84,101,117,118,119,131,140,143,162,175,233,239,324,331,349,362,414,421,426,444,459,515,525,584,591,607,641,668,760,764,783,793,794,859,871,937,947,954,961,986,986,987,987,988,988,988
41,72,74,81,85,104,121,143,159,173,185,204,240,256,339,363,390,405,412,472,474,488,519,547,567,580,598,599,635,644,656,659,678,708,789,806,829,847,847,847,847,848,850,852,932,950,952,961,986
7,34,35,43,81,99,159,183,185,188,211,273,279,304,364,372,397,404,406,433,438,445,452,466,471,516,526,614,618,659,662,675,676,680,729,731,761,763,784,789,821,821,823,837,854,879,931,963,986,987
35,51,52,92,99,105,132,154,157,217,262,266,299,303,307,316,355,382,387,391,429,440,465,466,473,478,550,557,597,614,642,664,690,693,716,729,746,789,793,823,846,856,860,860,878,928,934,960,976,1000
1,1,29,66,77,81,100,119,133,167,176,216,216,241,247,258,264,314,321,361,382,382,462,508,522,532,544,550,600,600,631,650,672,673,715,723,782,793,823,824,845,855,855,875,903,906,947,952,971,972,977
1,2,2,4,7,14,31,35,40,41,53,58,59,62,64,65,66,77,79,81,84,85,94,99,103,105,107,112,134,140,152,154,182,186,199,210,213,213,229,230,241,241,251,296,305,323,342,356,366,595,777
1,2,30,45,47,79,85,108,173,179,189,193,207,208,263,278,284,288,292,344,346,349,357,366,367,559,563,577,593,602,603,702,748,761,790,792,795,807,812,821,825,869,876,895,913,926,953,974,984,994,1000
1,3,15,30,55,71,80,131,149,173,187,200,201,230,250,268,307,333,338,342,342,363,369,400,430,474,493,536,600,664,669,676,677,696,716,723,766,801,801,835,852,869,871,961,963,970,984,985,985,985,994
1,6,34,73,107,109,149,163,205,213,240,257,261,272,291,318,322,396,410,413,419,472,495,517,525,546,560,575,581,589,624,629,631,646,648,659,670,674,728,756,758,760,784,845,846,882,897,945,958,965,990
1,12,52,92,99,101,145,146,172,180,184,240,262,283,320,323,332,353,380,391,409,428,460,501,534,535,540,588,590,592,594,596,607,607,617,618,645,692,719,737,763,827,853,907,935,962,963,976,982,984,985
1,15,20,21,83,106,126,137,178,180,180,208,230,231,270,346,354,357,364,380,397,405,416,473,489,539,556,561,573,590,599,611,663,669,703,707,734,757,786,812,845,868,869,872,885,891,904,936,939,984,994
1,16,20,23,26,41,43,44,133,142,143,145,161,204,234,294,321,331,372,460,482,507,515,530,533,596,604,611,634,651,661,665,668,673,687,693,707,726,803,810,843,854,880,884,887,889,890,906,920,966,985
1,20,69,100,112,116,158,160,181,196,206,222,312,322,324,328,351,357,358,367,378,442,468,469,492,513,561,572,576,581,608,615,621,633,661,667,705,731,733,749,771,778,855,859,866,874,926,940,943,967,1000
1,23,50,53,75,78,84,155,168,197,210,280,282,290,305,313,327,357,398,422,472,495,501,502,517,525,533,551,553,568,576,586,591,605,611,698,700,700,736,741,746,789,859,860,939,946,956,970,972,974,974
1,35,51,70,75,86,91,109,138,143,157,169,182,200,239,275,324,335,336,341,387,397,436,442,482,558,560,606,618,644,651,655,658,662,712,722,736,781,829,850,861,863,869,893,898,916,920,939,946,981,985
1,69,82,87,101,108,144,152,161,203,238,248,254,266,308,338,372,402,411,414,417,443,460,505,556,579,585,600,604,626,632,641,657,676,677,715,717,726,748,749,759,775,776,780,784,790,813,827,856,982,1000
2,4,10,27,48,118,118,188,207,258,269,275,305,320,334,342,350,368,372,403,417,518,520,551,559,569,575,582,594,611,669,670,676,686,689,689,689,700,709,722,733,758,760,784,804,822,831,852,871,929,957
2,6,33,68,84,90,99,104,134,148,183,187,272,274,286,321,387,396,412,425,450,458,464,468,494,538,540,559,561,564,657,658,677,682,719,745,745,745,746,773,778,803,814,829,862,879,899,924,929,954,989
2,7,60,62,94,113,123,136,146,167,168,185,209,216,220,297,305,316,338,373,400,429,439,440,524,551,559,567,585,619,662,706,729,744,750,752,752,753,757,757,764,818,832,845,875,886,935,949,962,964,972
2,9,23,40,57,69,91,95,106,137,172,213,269,281,330,395,403,406,411,417,424,465,465,470,472,491,544,547,569,578,583,601,625,666,688,729,748,761,778,802,823,841,861,863,863,889,902,940,955,966,979
2,11,11,28,47,71,81,96,119,174,227,235,243,279,319,344,367,373,424,431,443,448,452,487,527,546,569,590,599,610,620,655,667,682,696,703,726,732,735,752,774,795,812,819,867,895,904,939,950,953,985
2,14,26,38,67,123,133,144,162,172,192,198,209,220,261,273,294,372,408,424,442,507,514,553,559,560,561,563,566,569,591,617,630,649,658,733,743,755,765,799,801,802,814,847,871,890,925,932,947,954,965
2,20,31,47,101,112,135,137,142,176,209,222,232,241,251,291,305,307,327,373,376,387,402,428,489,512,515,517,522,525,592,607,621,679,716,739,755,764,816,843,867,883,922,932,933,952,953,961,973,978,994
2,36,88,100,103,119,119,120,128,148,164,168,211,252,286,300,332,333,341,383,396,408,409,412,449,463,518,539,583,585,586,608,645,685,692,786,793,801,818,823,839,843,885,889,901,905,927,955,964,979,995
2,55,85,102,118,136,137,146,149,159,195,195,227,283,302,308,330,335,384,397,398,402,403,408,412,430,505,574,608,636,638,650,655,655,682,746,779,786,813,814,836,846,853,854,856,867,871,895,927,979,991
3,7,10,13,29,54,60,79,108,182,201,238,251,266,354,358,372,387,424,440,440,442,476,483,484,489,556,560,566,601,609,624,630,647,657,680,690,733,758,805,840,865,871,874,885,901,930,952,963,977,990
3,7,54,68,106,113,120,135,141,180,193,245,256,281,304,336,363,364,384,425,447,461,487,494,523,530,547,548,560,566,587,650,654,677,678,681,689,695,714,764,789,825,834,866,876,876,899,911,959,959,990
3,19,22,36,42,50,99,117,149,164,168,210,258,279,334,349,359,361,362,368,376,389,424,475,494,498,549,611,628,667,673,698,702,706,707,753,760,775,780,788,800,802,805,819,858,880,888,926,929,938,967
3,25,58,73,104,114,134,186,188,200,204,206,241,254,283,288,291,313,313,344,360,388,407,437,451,534,534,545,555,560,575,598,674,675,713,727,737,748,814,819,834,862,893,902,914,926,932,955,963,979,981
