2,2,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,7,8,9,9,9,9,9,11,12,13,13,16,16,17,17,17,18,18,20,22,22,23,23,32,32,34,45,95
1,1,1,1,1,1,2,3,4,4,11,11,11,13,13,14,18,20,24,26,28,32,36,39,42,44,46,47,57,58,64,66,69,73,73,75,76,78,78,83,85,87,88,88,90,92,94,95,95,95,95,95,96,96,97,100
1,1,3,9,9,9,10,10,11,13,19,19,21,25,26,32,34,36,37,39,39,40,41,48,49,52,53,53,55,58,58,63,63,65,66,66,66,67,67,68,68,69,69,69,73,76,77,79,91,92,93,93,94,95,96,97
1,2,4,7,9,10,11,12,13,14,16,20,21,23,26,27,28,31,33,35,35,36,38,39,42,43,48,48,51,61,62,63,63,63,64,65,66,68,72,76,76,76,82,82,85,87,88,88,89,89,90,90,91,91,91,91
1,2,5,6,7,7,9,12,12,12,14,16,17,18,24,24,26,26,30,30,32,43,43,43,44,46,53,56,63,63,64,64,65,67,67,67,67,70,73,74,75,76,80,80,81,81,83,85,86,86,87,88,90,97,97,98
1,3,3,4,6,6,10,16,19,20,21,21,23,25,26,26,31,33,36,38,40,42,42,43,49,50,50,53,54,57,59,62,62,62,62,65,68,68,72,73,74,75,75,75,75,77,77,78,79,85,87,92,93,94,95,100
1,3,6,6,7,10,17,20,23,24,30,31,31,32,33,34,34,36,37,38,39,43,45,47,47,49,49,51,52,52,54,54,55,55,56,56,56,59,60,66,66,67,68,72,75,78,79,80,81,86,95,96,96,96,99,100
1,4,4,9,10,13,14,14,18,22,24,24,24,25,31,32,35,35,36,37,40,41,42,43,43,43,44,49,53,54,56,57,59,61,62,67,67,67,68,68,69,69,72,73,73,78,80,82,83,89,91,91,93,96,97,100
1,4,5,7,8,11,13,15,15,18,19,20,21,24,25,26,28,29,29,32,35,36,37,37,38,41,41,42,45,48,51,53,55,60,61,63,64,64,74,81,82,82,84,84,89,89,91,91,91,93,94,94,96,96,100,100
1,4,6,8,8,9,9,11,15,15,18,18,20,23,23,24,25,28,28,29,31,32,33,36,40,41,45,47,48,48,48,55,57,64,67,68,69,73,73,76,76,76,81,82,88,89,92,92,93,98,98,98,98,99,99,100
1,5,5,6,7,9,12,13,14,15,17,18,18,20,21,22,24,29,29,30,31,33,36,44,45,49,51,54,55,56,58,59,66,68,69,70,72,73,74,76,78,80,82,82,83,83,83,83,84,84,84,85,93,96,99,99
2,2,3,4,13,14,14,15,20,20,23,24,24,25,26,26,27,28,32,37,39,41,41,43,43,45,48,49,49,50,50,53,58,61,62,64,65,67,67,72,75,75,76,81,82,82,83,83,86,87,90,94,95,98,99,100
2,4,6,9,9,13,14,14,17,22,28,29,32,34,36,36,38,41,41,42,42,43,43,43,45,46,47,48,48,49,49,58,59,59,61,62,63,65,65,67,70,73,74,74,75,76,79,79,81,85,85,85,87,88,95,97
3,4,5,5,6,8,9,12,14,16,16,21,23,26,26,28,29,30,31,34,36,36,43,44,45,47,50,53,53,54,56,57,58,60,62,67,68,71,73,75,77,78,78,78,79,79,80,82,87,89,90,92,93,98,99,99
3,4,6,8,9,9,12,16,16,16,19,21,25,27,27,33,34,36,38,38,43,43,47,51,51,51,51,52,53,55,55,56,57,57,59,59,62,62,64,64,66,73,76,76,76,77,80,85,87,89,90,91,92,94,95,96
4,8,9,10,11,20,22,24,27,29,30,30,31,31,33,35,35,36,37,41,41,42,42,45,46,47,47,49,50,52,54,58,58,59,59,62,62,65,66,68,69,69,70,71,72,73,74,77,78,79,80,83,85,88,90,99
5,6,7,13,15,16,19,20,21,23,25,26,28,30,30,32,35,38,38,41,41,44,44,48,48,49,50,51,51,51,53,53,57,57,58,58,59,60,61,62,68,68,70,70,76,77,79,80,81,85,87,89,90,95,96,98
5,10,10,11,11,14,17,17,18,20,22,23,25,27,27,28,29,30,31,31,32,33,33,35,36,42,43,46,46,48,49,52,53,61,62,63,64,67,72,73,75,77,79,80,82,88,88,89,90,90,94,95,96,96,97,100
