1,1,1,2,4,5,6,6,7,7,8,9,9,9,10,10,11,11,13,13,13,13,14,14,14,15,18,19,20,20,21,23,24,24,24,25,25,26,27,27,27,29,29,30,30,32,33,33,34,36,38,45,50,50,57,57,64,67,68,72,73,75,76,94
1,1,1,2,4,7,9,9,10,10,12,12,14,15,16,18,18,20,21,21,24,26,29,29,30,32,34,36,38,39,43,46,46,48,53,53,54,55,55,56,58,58,63,64,65,66,66,67,68,68,70,71,73,73,74,77,78,78,78,82,93,95,97,97,98,98,99,99,100,100,100,100
1,1,3,3,4,4,5,5,5,5,8,9,10,13,13,14,16,20,20,21,22,26,26,30,31,32,34,37,38,38,38,39,40,41,41,42,42,43,44,47,52,58,62,65,67,69,70,76,79,79,81,84,85,86,90,91,91,91,93,93,94,94,95,95,95,95,96,96,96,96,96,99
1,1,4,5,5,5,6,6,9,11,15,15,24,24,25,26,27,28,29,30,31,31,32,34,36,39,41,41,41,42,43,45,47,49,49,51,53,54,55,56,59,62,67,68,69,69,71,72,72,72,73,73,73,73,73,74,74,75,75,75,76,77,78,82,83,85,87,87,92,93,97,98
1,2,2,4,4,4,6,9,9,12,14,14,16,17,18,19,19,19,20,23,26,27,28,33,33,35,35,36,36,37,37,39,44,44,45,45,48,49,50,53,53,56,58,59,69,70,73,74,77,77,78,78,79,79,83,83,84,85,88,89,89,90,90,91,91,91,92,92,94,96,100,100
1,2,3,4,5,6,13,13,16,19,22,23,25,26,26,27,28,28,28,29,30,30,30,31,33,33,36,36,38,38,41,42,42,48,50,51,51,53,53,55,57,57,59,59,60,64,67,67,67,68,69,70,73,74,74,80,80,84,85,85,85,87,87,88,88,88,88,88,89,89,89,90
1,2,3,4,6,6,8,11,17,18,20,21,22,24,26,28,30,31,31,31,31,32,33,33,36,36,37,41,41,42,42,42,43,43,43,44,45,47,49,50,53,53,54,57,63,63,64,67,72,75,77,78,79,79,80,80,80,81,81,82,82,82,82,82,83,86,87,88,89,96,97,98
1,3,3,4,5,6,7,8,9,9,10,12,15,15,16,16,17,20,23,29,32,32,35,35,36,37,38,39,43,43,43,45,46,47,48,49,50,51,53,54,55,56,57,58,59,61,62,63,65,69,69,72,73,74,75,76,80,82,83,87,91,93,94,95,96,96,98,99,99,99,100,100
1,3,4,6,8,9,9,10,11,11,14,14,17,20,20,21,25,26,28,29,31,32,32,36,36,36,41,42,43,43,46,48,48,48,49,49,51,55,57,58,61,61,64,65,66,66,66,66,66,67,67,68,68,68,68,68,70,73,78,82,82,83,84,88,91,93,93,94,95,95,98,99
1,3,5,7,8,11,11,12,13,13,17,18,18,18,19,20,23,23,23,23,25,26,28,28,31,35,35,40,42,43,43,43,47,47,48,48,49,52,53,55,57,58,62,62,63,65,69,75,75,76,76,76,76,76,76,76,76,76,77,78,78,81,83,85,88,95,95,95,96,96,99,100
2,3,4,5,6,6,9,9,11,13,14,16,16,18,21,23,24,24,24,24,25,25,30,31,32,32,36,38,40,41,47,48,49,49,51,52,52,52,52,56,56,60,61,64,66,66,66,67,68,69,72,73,75,75,79,79,80,80,81,83,83,86,87,89,90,90,90,92,93,96,97,97
2,4,4,5,5,5,6,9,9,9,10,12,13,14,17,18,22,22,22,23,24,25,26,33,35,36,36,43,44,45,45,48,48,49,50,51,51,54,55,56,56,58,58,61,63,65,65,67,67,67,68,72,73,76,77,80,81,82,85,87,87,89,91,92,92,94,94,96,97,98,98,99
4,4,4,5,7,7,9,10,11,12,12,16,17,17,17,20,20,21,23,26,31,32,32,34,35,37,37,41,41,43,43,43,44,48,49,51,51,53,54,54,57,59,59,62,62,63,64,67,67,68,69,73,75,76,76,81,81,82,84,85,85,88,89,89,90,90,91,92,95,95,95,96
4,5,7,8,9,11,14,15,16,16,18,21,22,24,27,28,29,34,34,35,39,40,41,42,44,45,46,46,47,47,49,51,53,58,58,59,59,59,59,60,60,61,61,62,62,62,62,62,62,62,62,63,63,63,64,64,64,64,65,68,70,75,77,79,79,80,83,85,86,90,90,91
