87,91,91,91,91,91,91,91
51,51,52,95,95,95,95,95,95
1,9,21,28,30,30,57,68,96,96,96,96,96
1,4,9,20,25,32,47,52,69,93,93,93,93,93
1,1,5,5,14,16,52,90,90,90,90,90,90,90
9,17,26,28,29,36,37,42,48,90,90,90,91,91
9,13,24,33,40,45,45,49,49,58,66,97,98,98
5,10,20,22,26,32,36,47,57,93,94,94,94,94
9,10,18,19,29,43,51,59,60,61,61,62,71,75,96
3,4,13,17,26,29,33,58,62,63,76,80,81,81,98
4,6,12,13,20,31,34,35,65,76,77,78,79,97,97
4,4,6,12,16,25,34,35,59,79,79,79,97,97,98
4,5,6,9,24,26,38,69,69,70,70,70,70,94,100
5,6,20,21,30,30,48,50,61,62,67,67,73,85,99
6,25,29,30,31,31,32,41,43,51,62,74,76,93,100
7,17,18,32,51,51,51,51,51,52,52,59,61,76,95
11,13,16,18,19,21,28,34,41,59,83,92,93,96,100
4,9,19,22,36,36,43,44,72,72,72,72,72,73,78
9,22,27,27,36,46,46,46,47,48,48,74,81,82,85
3,5,10,13,26,29,38,47,72,74,78,78,78,78,95
1,2,14,24,30,35,39,43,45,64,83,83,83,83,95
10,41,41,41,41,42,42,42,42,42,43,68,73,74,82
2,10,26,32,43,43,44,49,50,66,67,67,68,68,89
4,7,23,26,26,37,38,44,45,68,68,69,75,96,98
5,7,8,18,24,25,33,45,54,73,73,84,91,92,92
1,12,17,26,28,29,31,47,49,56,73,79,92,92,92
11,15,16,33,35,40,48,48,48,49,49,65,85,85,97
15,16,22,32,49,49,49,49,49,50,50,50,50,96,98
6,16,24,26,27,27,29,45,51,75,75,75,82,82,84
8,18,18,31,32,32,53,62,63,63,63,63,63,75,80
16,18,53,53,53,53,53,53,53,53,53,53,53,53,54
2,3,26,30,44,52,54,54,54,55,55,55,67,86,87
9,13,17,20,31,41,49,56,62,62,63,63,64,87,87
2,10,38,48,48,56,56,56,56,57,57,57,57,58,68
4,13,16,22,24,46,57,58,58,58,58,60,67,86,97
1,2,6,25,25,39,55,56,58,68,69,77,77,79,87
1,9,11,36,44,45,45,61,67,67,67,67,67,67,70
1,6,25,29,36,39,48,48,64,65,65,65,65,72,96
6,11,18,24,32,32,62,62,64,64,64,64,65,76,80
8,8,20,25,28,42,47,49,54,63,65,66,70,85,94
23,23,30,31,31,44,44,45,55,66,66,66,66,67,67
4,7,9,12,16,34,57,60,66,69,76,77,77,80,80
20,20,34,35,35,35,35,36,36,62,66,66,72,78,94
9,23,39,39,40,41,41,41,41,46,60,68,73,80,83
1,3,14,14,17,20,55,73,73,73,73,73,73,73,89
5,11,22,28,35,43,56,58,58,59,59,59,68,75,88
3,6,7,14,15,18,43,75,75,76,76,76,79,79,82
9,9,13,19,24,40,43,59,64,64,76,76,76,76,76
1,7,9,12,14,23,68,69,69,69,69,77,78,79,80
1,3,4,14,14,34,36,48,64,80,80,85,86,87,88
5,8,26,27,27,28,28,30,68,74,76,76,81,82,88
9,15,22,23,23,23,36,39,54,55,73,79,82,95,96
1,20,25,31,37,38,41,41,42,47,74,81,82,82,82
2,3,5,6,7,7,10,11,13,13,16,20,48,55,84
12,15,20,23,24,24,29,31,50,71,85,85,85,85,85
4,17,19,28,32,32,33,33,42,42,80,81,87,95,99
8,11,11,20,21,21,31,43,62,68,78,87,87,88,88
4,14,23,24,27,36,36,37,47,67,74,81,82,83,89
1,3,5,5,5,5,21,67,83,88,88,88,88,88,89
3,4,6,11,15,18,30,46,57,89,89,89,89,89,89
2,4,4,5,11,21,37,43,63,77,83,90,94,95,95
11,14,23,24,36,36,36,37,38,38,75,82,84,91,99
5,21,26,34,42,43,43,43,58,59,59,59,61,75,96
9,9,10,15,17,21,38,43,47,61,83,84,95,96,96
9,10,12,13,28,33,33,33,62,62,64,68,98,99,100
4,5,6,16,17,19,32,43,51,62,81,92,98,99,99
4,9,14,14,18,24,31,37,38,75,77,86,99,99,99
1,1,2,4,8,12,13,43,62,78,100,100,100,100,100
