5266664,9762328,22293459,39108389,64050821,79934974,309082171,875002252,892126201,903128660,920469608,939211032,961929971,974053765,995373112
5856404,10919051,24898473,39444764,65030233,82148394,301993369,876117498,892540692,904708605,920540083,939239844,963254975,974155347,991662124
6126476,11999977,26000578,40621177,66236682,84743416,285387400,878437457,894171080,905607693,921723261,942211162,963410765,974717924,991416040
38108674,434128724,437869136,442185185,451743700,457734923,459273282,461900809,467402743,473856953,536292834,563210260,873469666,902803836,999340166
78008068,110531337,128577228,140248625,159155681,307667275,717857455,729203270,757960299,775004887,789431488,804629815,817830991,830607165,851924969
93606509,113843385,129603529,140638829,150687367,282775930,718578551,729994467,758578422,776210589,789689078,804707056,819832333,830699033,852190381
95878546,114077229,130033874,141241164,152894347,272023059,719054038,731077498,759244197,777761032,791742001,805346457,820594550,831185080,854822177
96729419,114903930,130051363,142407903,163144152,254722458,719075166,731241814,760769965,777815868,791995381,806186103,821888108,833677816,855321128
96748516,117619332,130660566,142881915,155061213,244080697,719527311,734648341,760809050,780849648,792681041,806532979,822282881,834118039,857212484
150601461,177351489,225972361,517085269,550475088,564949953,579362199,594663866,615587198,636268972,647970451,661152531,675285531,692804657,703369240
153807077,181416977,195611038,503737440,552624109,571227925,580590085,597446005,620945203,637434752,652512790,665928100,680907190,695454806,706420936
160550932,177690506,226797381,499358033,551193967,568972834,580044119,595581035,615638848,636686176,648423826,661948816,677726628,694749392,704117075
162706297,181076734,243268396,457311713,551794022,569571391,580345472,596247145,617200246,637339633,651533006,663736866,678552805,695252497,706119479
163705386,182842848,199179623,482981184,552641250,571549891,580657434,597961353,621254609,638486099,653600678,666320366,681755650,695993522,706746335
431642421,536959357,537176296,538135748,538176557,538971524,539486799,540287325,540654594,542040593,542170959,542537071,543830321,543832980,543856497
509848899,510745814,511335449,511343791,512270151,513335336,513446740,515030422,515527599,516310737,516706353,516809867,519623664,520001717,520405074
32585,8319173,28158476,47672410,59684975,73829022,118171500,271717953,857861271,876459817,894666238,910814328,935151879,950017650,968266964,998018830
145124,9402596,32833870,49257345,70776947,83629377,94876990,140580580,900234577,908132215,918041892,930325600,939299659,950969349,966886103,999695391
240149,11894219,26303833,42705964,62234402,71121466,91109114,283172685,866820549,879669576,899071488,915530866,935561853,950174918,967396799,995484514
376488,10364947,31220629,41547074,55275958,75305256,88466147,240281553,874686421,889223184,905198459,923303263,936971942,950342370,971503903,999884838
744732,8241258,24138766,39017396,54505175,63671891,110644415,200330767,880749930,894134833,914431771,934030139,944737822,956328478,974919632,998697903
767717,11313202,33191009,49621742,71896903,84210063,95871108,142029841,890239157,909465842,918954852,931043883,939338595,952537757,967224302,998352770
782771,8891737,21880889,30349588,51132587,68663631,118149308,291574633,861074111,878020384,895939122,911656355,934426566,951386932,968680792,999778146
850072,5710351,22574350,36011119,53050685,69824657,85611677,206860927,885253218,900452946,918208689,930843457,945634048,958813967,972234861,999559365
857562,10342648,28336644,48727461,60247300,75198071,84687386,289511196,861338163,877436550,895156644,914950717,936240861,950452207,968389978,997853391
933956,7009480,23208638,37699388,53309572,70101954,116630129,167861697,885723447,903405642,919113808,931235033,947195393,960076770,972553860,998660812
1171726,2547706,22211937,78228770,422016511,467254424,473683217,535983440,561765313,562178888,565346217,565410139,902382002,902409540,960500928,961916465
1389973,9615511,23767632,38598362,53628653,71147779,86055271,188242917,886165226,904719978,919355784,931773491,947758751,960288012,972917982,997899270
1501759,12885977,27821114,43150839,62282499,74067674,96403297,263951949,867066587,881763698,901475499,915977841,935960155,952021258,968049454,993997042
